,,,,,,,,(อัพเดตจุดจอดและชื่อภาษาอังกฤษ),,,,,,,,,,
Route,Route,Estimate Time (Optional),Type,id,external_id,lat,lon,Pick up point,lat,lon,,,,,,,,
B5 Ngamwongwan,B5 Ngamwongwan,6:03,Add_Jan2021,-,-,13.878079,100.548441,หน้าร้าน one one food avenue ถ.สามัคคี,13.629541,100.719754,,,,,,,,
,B5 Ngamwongwan,6:10,Original,1353338,bangkok_280920_016,13.8713054,100.5487274,ป้ายรถเมล์หน้า ม. ธุรกิจบัณฑิตย์,13.6666494,100.6419728,,,,,,,,
,B5 Ngamwongwan,6:14,Add_Jan2021,-,-,13.8726176,100.5490612,ป้ายรถเมล์ตรงข้ามปั้มเชลล์ ถ.ประชาชื่น,13.6339053,100.7116617,,,,,,,,
,B5 Ngamwongwan,6:15,,,,,,ป้ายรถเมล์ตรงข้าม คอนโดลุมพินี ถ.ประชาชื่น,13.6650411,100.6504104,,,,,,,,
,B5 Ngamwongwan,6:15,Original,1353339,bangkok_280920_017,13.857133,100.536475,หน้าร้านเฟอร์นิเจอร์ เลยงามวงศ์วาน ซ.12,13.655949,100.671911,,,,,,,,
,B5 Ngamwongwan,6:20,Original,1353340,bangkok_280920_018,13.857384,100.534609,หน้าคลินิกทันตกรรม เลยงามวงศ์วาน ซ.8,13.6524136,100.6781308,,,,,,,,
B6 Victory Monument,B6 Victory Monument,6:15,Original,1354692,bangkok_111020_123,13.803246,100.560685,ด้านใน ปั๊มซัสโก้ ซ.วิภาวดี 20,13.61889,100.742968,,,,,,,,
,B6 Victory Monument,6:20,Original,1354693,bangkok_111020_124,13.788523,100.56171,ป้ายรถเมล์หน้าดับเพลิงสุทธิสาร,13.611498,100.759667,,,,,,,,
,B6 Victory Monument,6:30,Original,1353341,bangkok_280920_019,13.76895138,100.5406425,หน้าปั๊มปตท.พหลโยธิน (สนามเป้า),13.59529,100.80472,,,,,,,,
B7 (A)  Ladprao (A),B7 (A)  Ladprao (A),6:05,Original,1404964,bangkok_071220_002,13.7941565,100.5950472,ป้ายรถเมล์ ตลาดโชคชัย 4,13.593496,100.812719,,,,,,,,
,B7 (A)  Ladprao (A),6:15,Original,1355374,bangkok_191020_019,13.7876536,100.6068099,ป้ายรถเมล์ แกรนด์วิลเลจ 27 ถ.ลาดพร้าว,13.589783,100.83012,,,,,,,,
,B7 (A)  Ladprao (A),6:20,Original,1353342,bangkok_280920_020,13.78411804,100.6130957,ปาก ซ.ลาดพร้าว 83,13.5880875,100.8376889,,,,,,,,
,B7 (A)  Ladprao (A),6:22,Original,1353343,bangkok_280920_021,13.781973,100.616997,หน้าร้านข้าวผัดปูเมืองทอง ปาก ซ.ลาดพร้าว 87,13.803989,100.511976,,,,,,,,
B7 (B)  Ladprao (B),B7 (B)  Ladprao (B),6:24,Original,1353447,bangkok_081020_001,13.774528,100.630329,ปากซ.ลาดพร้าว 101/1,13.8230616,100.5225359,,,,,,,,
,B7 (B)  Ladprao (B),6:25,Original,1353344,bangkok_280920_022,13.771671,100.635456,หน้า รพ.เวชธานี ถ.ลาดพร้าว,13.830183,100.543589,,,,,,,,
,B7 (B)  Ladprao (B),6:27,Original,1353345,bangkok_280920_023,13.76985,100.638634,ปากซ.ลาดพร้าว 113,13.781822,100.490314,,,,,,,,
,B7 (B)  Ladprao (B),6:35,Original,1353346,bangkok_280920_024,13.754895,100.646053,หน้าปั๊มPT ถ.ศรีนครินทร์,13.7780333,100.4860247,,,,,,,,
,B7 (B)  Ladprao (B),6:37,Original,1353448,bangkok_081020_002,13.745339,100.64354,ป้ายรถเมล์ ตรงข้าม รพ.สมิติเวช,13.7752552,100.483614,,,,,,,,
,B7 (B)  Ladprao (B),-,Add_Nov2020,1355376,bangkok_191020_021,13.75237,100.64547,ป้ายรถเมล์ แยกกรุงเทพกรีฑา,13.7701341,100.4847197,,,,,,,,
B8 (A) Minburi ( A),B8 (A) Minburi ( A),6:00,,,,,,หน้า KTB ซ.นวมินทร์48,13.758023,100.496525,,,,,,,,
,B8 (A) Minburi ( A),6:05,Original,1354694,bangkok_111020_125,13.77760812,100.6480518,ด้านสวนพฤกษชาติ (ตรงข้าม ม.การ์เด้นท์ ซ.48),13.760286,100.517325,,,,,,,,
,B8 (A) Minburi ( A),6:15,Original,1354695,bangkok_111020_126,13.7778388,100.6749166,ป้ายรถเมล์ตรงข้าม ม.สัมมากร ถ.รามคำแหง,13.786293,100.462936,,,,,,,,
,B8 (A) Minburi ( A),6:17,Original,1354696,bangkok_111020_127,13.790545,100.697911,หน้าศูนย์โตโยต้าธนบุรี  ถ.รามคำแหง,13.754903,100.527231,,,,,,,,
,B8 (A) Minburi ( A),6:20,Original,-,-,13.7943594,100.7049973,หน้าร้านอาหาร เทียน เทียน หัวปลาหม้อไฟ ซ.รามคำแหง 177,13.751347,100.537274,,,,,,,,
,B8 (A) Minburi ( A),6:25,Original,1354697,bangkok_111020_128,13.806569,100.727173,ป้ายรถเมล์หน้ารามอพาร์เม้นท์ ถ. รามคำแหง,13.8520549,100.5441079,,,,,,,,
,B8 (A) Minburi ( A),6:28,,,,,,ป้ายรถเมล์ ซ.รามคำแหง 162/1 ถ.รามคำแหง,13.656871,100.6424,,,,,,,,
,B8 (A) Minburi ( A),6:30,Original,1354698,bangkok_111020_129,13.792991,100.702805,ป้ายรถเมล์ หน้า บ.มีสทีน ถ.รามคำแหง,13.538793,100.621999,,,,,,,,
,B8 (A) Minburi ( A),6:35,Original,1353347,bangkok_280920_025,13.78817,100.694116,หน้าปั๊มปตท.ก่อนถึง ม.ธารารมณ์ ถ.รามคำแหง,13.723594,100.560366,,,,,,,,
,B8 (A) Minburi ( A),,,,,,,ป้ายรถเมล์หน้า รร.โสมาภานุสสรณ์ ถ.รามคำแหง,,,,,,,,,,
B8 (B) Minburi  ( B),B8 (B) Minburi  ( B),6:32,Original,1353348,bangkok_280920_026,13.812412,100.724344,หน้าเอสซีซุปเปอร์มาร์เก็ต ถ.สีหบุรานุกิจ,13.6892595,100.6091504,,,,,,,,
,B8 (B) Minburi  ( B),6:35,Original,1354699,bangkok_111020_130,13.812528,100.719766,หน้าปั๊มบางจาก ถ.สีหบุรานุกิจ,13.7943167,100.7052427,,,,,,,,
,B8 (B) Minburi  ( B),6:45,Original,1354700,bangkok_111020_131,13.792533,100.684972,ป้ายรถเมล์ หน้า ม.บ้านเรือนทอง ถ.เสรีไทย,13.661334,100.661954,,,,,,,,
B9 (A) Pinklao (A),B9 (A) Pinklao (A),6:10,Original,,,,,หน้าคอนโดซิตี้โฮม ถ.จรัญสนิทวงศ์,13.6779419,100.6340211,,,,,,,,
,B9 (A) Pinklao (A),6:15,Original,,,,,สะพานลอยตรงข้ามปั๊มน้ำมันซัสโก้ วงศ์สว่าง,13.71437651,100.5046606,,,,,,,,
,B9 (A) Pinklao (A),6:20,Original,,,,,หน้าปั๊มคาลเท็กซ์เลยสี่แยกประชานุกูล,13.40063473,101.0049694,,,,,,,,
B9 (B) Pinklao (B),B9 (B) Pinklao (B),6:15,Original,,,,,หน้าการไฟฟ้าย่อยบางยี่ขัน ซ.จรัญสนิทวงศ์ 54,13.61420453,100.592617,,,,,,,,
,B9 (B) Pinklao (B),6:16,Original,,,,,หน้าคอนโดเดอะพาร์คแลนด์ ซ.จรัญสนิทวงศ์ 42,13.688283,100.647005,,,,,,,,
